dumpLine	type	name
42687	Class	/Script/Population.PopulationSimpleSpawner
42688	ObjectProperty	/Script/Population.PopulationSimpleSpawner:GeneratedDataTable
42689	ObjectProperty	/Script/Population.PopulationSimpleSpawner:SpawnActivator
42690	ObjectProperty	/Script/Population.PopulationSimpleSpawner:DespawnActivator
42691	ArrayProperty	/Script/Population.PopulationSimpleSpawner:DynamicSpawnPoints
42692	ObjectProperty	DynamicSpawnPoints./Script/Population.PopulationSimpleSpawner:DynamicSpawnPoints
42693	MapProperty	/Script/Population.PopulationSimpleSpawner:SpawnedPawns
42694	UInt32Property	SpawnedPawns./Script/Population.PopulationSimpleSpawner:SpawnedPawns_Key
42695	WeakObjectProperty	SpawnedPawns./Script/Population.PopulationSimpleSpawner:SpawnedPawns
42696	Function	/Script/Population.PopulationSimpleSpawner:Stop
48283	Class	/Script/RebelFormation.RebelFormationGroupDefinition
48284	ArrayProperty	/Script/RebelFormation.RebelFormationGroupDefinition:Pawns
48285	StructProperty	Pawns./Script/RebelFormation.RebelFormationGroupDefinition:Pawns
48289	Class	/Script/RebelFormation.RebelFormationPopulationSimpleSpawner
48290	Class	/Script/RebelFormation.RebelFormationGroup_PawnData
48291	ObjectProperty	/Script/RebelFormation.RebelFormationGroup_PawnData:PawnPtr
48292	IntProperty	/Script/RebelFormation.RebelFormationGroup_PawnData:PositionIndex
48293	StructProperty	/Script/RebelFormation.RebelFormationGroup_PawnData:PawnSpawnData
48294	ObjectProperty	/Script/RebelFormation.RebelFormationGroup_PawnData:MovingHelper
48295	IntProperty	/Script/RebelFormation.RebelFormationGroup_PawnData:Type
48296	EnumProperty	/Script/RebelFormation.RebelFormationGroup_PawnData:PawnState
48297	StructProperty	/Script/RebelFormation.RebelFormationGroup_PawnData:ActualSteering
48298	StructProperty	/Script/RebelFormation.RebelFormationGroup_PawnData:TargetSteering
48299	NameProperty	/Script/RebelFormation.RebelFormationGroup_PawnData:RowName
48300	ClassProperty	/Script/RebelFormation.RebelFormationGroup_PawnData:OverridenReactionProfile
48301	ObjectProperty	/Script/RebelFormation.RebelFormationGroup_PawnData:Spawner
48302	ObjectProperty	/Script/RebelFormation.RebelFormationGroup_PawnData:MovementProfile
48303	Class	/Script/RebelFormation.RebelFormationGroup
48304	ObjectProperty	/Script/RebelFormation.RebelFormationGroup:FormationDefinition
48305	StructProperty	/Script/RebelFormation.RebelFormationGroup:FormationPositionData
48306	ArrayProperty	/Script/RebelFormation.RebelFormationGroup:ColumnsData
48307	StructProperty	ColumnsData./Script/RebelFormation.RebelFormationGroup:ColumnsData
48308	ArrayProperty	/Script/RebelFormation.RebelFormationGroup:FormationPawnsData
48309	ObjectProperty	FormationPawnsData./Script/RebelFormation.RebelFormationGroup:FormationPawnsData
48310	MapProperty	/Script/RebelFormation.RebelFormationGroup:PawnToData
48311	WeakObjectProperty	PawnToData./Script/RebelFormation.RebelFormationGroup:PawnToData_Key
48312	ObjectProperty	PawnToData./Script/RebelFormation.RebelFormationGroup:PawnToData
48313	ArrayProperty	/Script/RebelFormation.RebelFormationGroup:LastPawnPosition
48314	StructProperty	LastPawnPosition./Script/RebelFormation.RebelFormationGroup:LastPawnPosition
48315	StructProperty	/Script/RebelFormation.RebelFormationGroup:position
48316	EnumProperty	/Script/RebelFormation.RebelFormationGroup:FormationState
48317	ObjectProperty	/Script/RebelFormation.RebelFormationGroup:GroupDefinition
48318	ObjectProperty	/Script/RebelFormation.RebelFormationGroup:FormationActor
48319	ObjectProperty	/Script/RebelFormation.RebelFormationGroup:GroupDataTable
48320	Function	/Script/RebelFormation.RebelFormationGroup:StopCombatBehaviour
48321	Function	/Script/RebelFormation.RebelFormationGroup:StartCombatBehaviour
48322	Function	/Script/RebelFormation.RebelFormationGroup:ResumeTransport
48323	BoolProperty	/Script/RebelFormation.RebelFormationGroup:ResumeTransport:bForce
48324	Function	/Script/RebelFormation.RebelFormationGroup:PauseTransport
48325	BoolProperty	/Script/RebelFormation.RebelFormationGroup:PauseTransport:bForce
48326	Function	/Script/RebelFormation.RebelFormationGroup:IsPointInArea
48327	StructProperty	/Script/RebelFormation.RebelFormationGroup:IsPointInArea:Point
48328	EnumProperty	/Script/RebelFormation.RebelFormationGroup:IsPointInArea:AreaType
48329	BoolProperty	/Script/RebelFormation.RebelFormationGroup:IsPointInArea:ReturnValue
48330	Function	/Script/RebelFormation.RebelFormationGroup:IsNotInCombat
48331	BoolProperty	/Script/RebelFormation.RebelFormationGroup:IsNotInCombat:ReturnValue
48332	Function	/Script/RebelFormation.RebelFormationGroup:IsInCombat
48333	BoolProperty	/Script/RebelFormation.RebelFormationGroup:IsInCombat:ReturnValue
48334	Function	/Script/RebelFormation.RebelFormationGroup:IsGuardDefeated
48335	BoolProperty	/Script/RebelFormation.RebelFormationGroup:IsGuardDefeated:ReturnValue
48336	Function	/Script/RebelFormation.RebelFormationGroup:IsGuard
48337	ObjectProperty	/Script/RebelFormation.RebelFormationGroup:IsGuard:Actor
48338	BoolProperty	/Script/RebelFormation.RebelFormationGroup:IsGuard:ReturnValue
48339	Function	/Script/RebelFormation.RebelFormationGroup:IsFormationSpawned
48340	BoolProperty	/Script/RebelFormation.RebelFormationGroup:IsFormationSpawned:ReturnValue
48341	Function	/Script/RebelFormation.RebelFormationGroup:GetSpawnedGuards
48342	ArrayProperty	/Script/RebelFormation.RebelFormationGroup:GetSpawnedGuards:ReturnValue
48343	ObjectProperty	ReturnValue./Script/RebelFormation.RebelFormationGroup:GetSpawnedGuards:ReturnValue
48344	Function	/Script/RebelFormation.RebelFormationGroup:GetFormationState
48345	EnumProperty	/Script/RebelFormation.RebelFormationGroup:GetFormationState:ReturnValue
48346	Function	/Script/RebelFormation.RebelFormationGroup:GetFormationPosition
48347	StructProperty	/Script/RebelFormation.RebelFormationGroup:GetFormationPosition:ReturnValue
48348	Function	/Script/RebelFormation.RebelFormationGroup:GetAreaSize
48349	EnumProperty	/Script/RebelFormation.RebelFormationGroup:GetAreaSize:AreaType
48350	FloatProperty	/Script/RebelFormation.RebelFormationGroup:GetAreaSize:ReturnValue
48351	Function	/Script/RebelFormation.RebelFormationGroup:CheckLeftArea
48352	EnumProperty	/Script/RebelFormation.RebelFormationGroup:CheckLeftArea:AreaType
48353	BoolProperty	/Script/RebelFormation.RebelFormationGroup:CheckLeftArea:bPlayerOnlyCheck
48354	BoolProperty	/Script/RebelFormation.RebelFormationGroup:CheckLeftArea:ReturnValue
48355	Function	/Script/RebelFormation.RebelFormationGroup:CheckIsInArea
48356	EnumProperty	/Script/RebelFormation.RebelFormationGroup:CheckIsInArea:AreaType
48357	BoolProperty	/Script/RebelFormation.RebelFormationGroup:CheckIsInArea:bPlayerOnlyCheck
48358	BoolProperty	/Script/RebelFormation.RebelFormationGroup:CheckIsInArea:ReturnValue
48359	Function	/Script/RebelFormation.RebelFormationGroup:CheckEnteredArea
48360	EnumProperty	/Script/RebelFormation.RebelFormationGroup:CheckEnteredArea:AreaType
48361	BoolProperty	/Script/RebelFormation.RebelFormationGroup:CheckEnteredArea:bPlayerOnlyCheck
48362	BoolProperty	/Script/RebelFormation.RebelFormationGroup:CheckEnteredArea:ReturnValue
48363	Function	/Script/RebelFormation.RebelFormationGroup:CanStartCombatBehaviour
48364	BoolProperty	/Script/RebelFormation.RebelFormationGroup:CanStartCombatBehaviour:ReturnValue
48793	Class	/Script/RebelAI.RebelAIBoard
48794	ArrayProperty	/Script/RebelAI.RebelAIBoard:ActiveActions
48795	ObjectProperty	ActiveActions./Script/RebelAI.RebelAIBoard:ActiveActions
48796	MapProperty	/Script/RebelAI.RebelAIBoard:UsedRandomMontageMap
48797	NameProperty	UsedRandomMontageMap./Script/RebelAI.RebelAIBoard:UsedRandomMontageMap_Key
48798	StructProperty	UsedRandomMontageMap./Script/RebelAI.RebelAIBoard:UsedRandomMontageMap
48799	MapProperty	/Script/RebelAI.RebelAIBoard:ActionTimestamps
48800	StructProperty	ActionTimestamps./Script/RebelAI.RebelAIBoard:ActionTimestamps_Key
48802	MapProperty	/Script/RebelAI.RebelAIBoard:ActionEndTimestamps
48803	StructProperty	ActionEndTimestamps./Script/RebelAI.RebelAIBoard:ActionEndTimestamps_Key
48805	WeakObjectProperty	/Script/RebelAI.RebelAIBoard:Formation
